host,user,uid,groups,is_sudoer
shrpwe-apex02,adm,3,adm;systemd-journal;admin,True
shrpwe-apex02,adm_andy,7001,admin,True
shrpwe-apex02,ansible,54324,wheel,True
shrpwe-apex02,apache,48,,False
shrpwe-apex02,axi.a_kwlm,2002,admin,True
shrpwe-apex02,axi.a_mley,2001,admin,True
shrpwe-apex02,azureadmin,1000,adm;systemd-journal,False
shrpwe-apex02,bin,1,,False
shrpwe-apex02,chrony,992,,False
shrpwe-apex02,clevis,983,tss,False
shrpwe-apex02,cockpit-ws,994,,False
shrpwe-apex02,cockpit-wsinstance,993,,False
shrpwe-apex02,daemon,2,,False
shrpwe-apex02,dbus,81,,False
shrpwe-apex02,dnsmasq,987,,False
shrpwe-apex02,ftp,14,,False
shrpwe-apex02,games,12,,False
shrpwe-apex02,halt,7,,False
shrpwe-apex02,lansweeper,54323,wheel,True
shrpwe-apex02,libstoragemgmt,996,,False
shrpwe-apex02,lp,4,,False
shrpwe-apex02,mail,8,,False
shrpwe-apex02,nobody,65534,,False
shrpwe-apex02,nxautomation,984,omiusers;omsagent,False
shrpwe-apex02,omi,986,,False
shrpwe-apex02,omsagent,985,,False
shrpwe-apex02,operator,11,,False
shrpwe-apex02,oracle,54321,oinstall;dba;oper;backupdba;dgdba;kmdba;racdba,False
shrpwe-apex02,polkitd,997,,False
shrpwe-apex02,root,0,,False
shrpwe-apex02,rpc,32,,False
shrpwe-apex02,rpcuser,29,,False
shrpwe-apex02,sentinelone,981,,False
shrpwe-apex02,setroubleshoot,982,,False
shrpwe-apex02,shutdown,6,,False
shrpwe-apex02,sshd,74,,False
shrpwe-apex02,sssd,995,,False
shrpwe-apex02,svc_rapid7,54322,,False
shrpwe-apex02,sync,5,,False
shrpwe-apex02,systemd-coredump,999,,False
shrpwe-apex02,systemd-resolve,193,,False
shrpwe-apex02,tcpdump,72,,False
shrpwe-apex02,tss,59,,False
shrpwe-apex02,unbound,998,,False
epbpwe-rpr01,abrt,173,,False
epbpwe-rpr01,adm,3,admin,True
epbpwe-rpr01,adm_andy,7001,admin,True
epbpwe-rpr01,ansible,1004,wheel,True
epbpwe-rpr01,apache,48,,False
